Adress,Educational Institute,Restaurants,Medical Service,Parks
"East Ahmed Nagar, Ahmed Nagar, Mirpur, Dhaka",29,24,7,16
"East Azampur, Dakshin Khan, Dhaka",27,42,2,7
"East Badda, Badda, Dhaka",10,36,36,8
"East Bashabo, Bashabo, Dhaka",32,24,6,27
"East Dolairpar, Dolairpar, Kadamtali, Shyampur, Dhaka",13,17,2,1
"East Doniya, Doniya, Shyampur, Dhaka",24,47,2,6
"East Goran, Goran, Khilgaon, Dhaka",31,39,8,13
"East Hazipara, East Rampura, Rampura, Dhaka",36,50,8,28
"East Jurain, Jurain, Shyampur, Dhaka",6,7,1,4
"East Kafrul, Kafrul, Dhaka",25,12,0,25
"East Kazipara, Mirpur, Dhaka",47,50,6,18
"East Khilbari Tek, Khilbari Tek, Badda, Dhaka",17,28,16,9
"East Madartek, Madartek, Bashabo, Dhaka",24,17,6,11
"East Manikdi, Manikdi, Cantonment, Dhaka",20,10,3,20
"East Maniknagar, Maniknagar, Dhaka",6,6,2,11
"East Merul Badda, Merul Badda, Badda, Dhaka",20,50,44,22
"East Mollartek, Dakshin Khan, Dhaka",31,50,2,8
"East Monipur, Mirpur, Dhaka",29,19,3,14
"East Nakhalpara, Tejgaon, Dhaka",12,50,1,12
"East Namapara, Namapara, Khilkhet, Dhaka",1,6,0,4
"East Rampura, Rampura, Dhaka",36,50,8,28
"East Rasulpur, Rasulpur, Donia, Jatra Bari, Dhaka",50,50,5,39
"East Sheikhdi, Sheikhdi, Jatra Bari, Dhaka",50,50,4,32
"East Shewrapara, Mirpur, Dhaka",29,19,3,14
"Eastern Housing, Pallabi, Mirpur, Dhaka",21,40,1,16
"Eastern Pallabi, Pallabi, Mirpur, Dhaka",21,40,1,16
"Elephant Road, New Market, Dhaka",50,50,15,50
"Eskaton, Dhaka",50,50,18,50
"Faidabad Garden City, Faydabad, Dakshin Khan, Dhaka",27,42,2,7
"Fakirapool, Motijheel, Dhaka",39,50,9,40
"Faridabad, Shyampur, Dhaka",47,30,6,22
"Farmgate, Tejgaon, Dhaka",16,50,5,34
"Faydabad, Dakshin Khan, Dhaka",27,42,2,7
"Faydabad, East Azampur, Dakshin Khan, Dhaka",27,42,2,7
"Future Town, Bochila, Mohammadpur, Dhaka",19,0,0,9
"Gandaria, Sutrapur, Dhaka",50,50,6,36
"Gawair, Dakshin Khan, Dhaka",27,42,2,7
"Genda, Savar, Dhaka",3,21,9,3
"Glass Factory, Faridabad, Shyampur, Dhaka",47,50,6,28
"Goalbari Mor, Donia, Jatra Bari, Dhaka",50,50,5,39
"Goaltek, Dakshin Khan, Dhaka",27,42,2,7
"Goaltek, Faydabad, Dakshin Khan, Dhaka",6,14,3,5
"Gojmohal, Hazaribag, Dhaka",50,50,15,25
"Golapbag, Jatra Bari, Dhaka",50,50,5,39
"Golartek, Section 1, Mirpur, Dhaka",21,40,1,16
"Goltek, Cantonment, Dhaka",20,10,3,20
"Gopibag, Motijheel, Dhaka",9,15,1,17
"Goran, Khilgaon, Dhaka",31,39,8,13
"Goshbag, Zirabo, Ashulia, Savar, Dhaka",2,2,0,1
"Green City Housing, Mohammadpur, Dhaka",1,1,0,1
"Green Road, Dhanmondi, Dhaka",50,50,20,50
"Gudaraghat, Middle Badda, Badda, Dhaka",50,50,43,12
"Gulbag, Malibagh, Dhaka",50,50,12,42
"Gulshan 1, Gulshan, Dhaka",50,50,50,12
"Gulshan 2, Gulshan, Dhaka",50,50,50,15
"Haji Nagar, Sarulia, Demra, Dhaka",0,0,0,2
"Hashem Khan Road, Sultanganj, Rayer Bazaar, Hazaribag, Dhaka",38,42,8,40
"Hatimbag, Dakshin Khan, Dhaka",27,42,2,7
"Hatirpool, Dhaka",50,50,20,39
"Hatkhola, Tikatuli, Sutrapur, Dhaka",50,50,9,45
"Hazaribag Model Town, Hazaribag, Dhaka",38,42,8,40
"Hazaribag, Dhaka",50,50,15,25
"Hazaribagh Road, Hazaribag, Dhaka",50,50,15,25
"Hemayetpur, Savar, Dhaka",5,6,1,1
"Hijla, Amin Bazar, Savar, Dhaka",1,0,0,0
"IBN SINA Housing, Adabor, Dhaka",32,38,30,12
"Ibrahimpur, Dhaka",20,7,2,10
